TemporalSite,ExpectedCenterIndex,PeakIndex,ExpectedCenterTime_ns,PeakTime_ns,PeakValue,HalfWindow_samples,HalfWindow_ns,FullWindow_ns
1,100,96,15.84,15.2,0.64,29,4.64,9.44
2,162,158,25.76,25.12,1.072,29,4.64,9.44
3,224,218,35.68,34.72,0.752,29,4.64,9.44
4,286,278,45.6,44.32,0.192,29,4.64,9.44
5,348,335,55.52,53.44,0.096,29,4.64,9.44
6,410,399,65.44,63.68,0.112,29,4.64,9.44
7,472,461,75.36,73.6,0.176,29,4.64,9.44
8,534,524,85.28,83.68,0.64,29,4.64,9.44
9,596,587,95.2,93.76,1.008,29,4.64,9.44
10,658,647,105.12,103.36,0.864,29,4.64,9.44
11,720,706,115.04,112.8,0.256,29,4.64,9.44
12,782,777,124.96,124.16,0.272,29,4.64,9.44
13,844,840,134.88,134.24,0.512,29,4.64,9.44
14,906,897,144.8,143.36,0.432,29,4.64,9.44
15,968,955,154.72,152.64,0.656,29,4.64,9.44
16,1030,1017,164.64,162.56,1.04,29,4.64,9.44
17,1092,1077,174.56,172.16,0.992,29,4.64,9.44
18,1154,1135,184.48,181.44,0.448,29,4.64,9.44
19,1216,1206,194.4,192.8,0.288,29,4.64,9.44
20,1278,1270,204.32,203.04,0.464,29,4.64,9.44
21,1340,1328,214.24,212.32,0.32,29,4.64,9.44
22,1402,1387,224.16,221.76,0.128,29,4.64,9.44
23,1464,1442,234.08,230.56,0.08,29,4.64,9.44
24,1526,1533,244,245.12,0.08,29,4.64,9.44
25,1588,1570,253.92,251.04,0.064,29,4.64,9.44
26,1650,1635,263.84,261.44,0.16,29,4.64,9.44
27,1712,1699,273.76,271.68,0.368,29,4.64,9.44
28,1774,1759,283.68,281.28,0.304,29,4.64,9.44
29,1836,1818,293.6,290.72,0.144,29,4.64,9.44
30,1898,1873,303.52,299.52,0.08,29,4.64,9.44
31,1960,1944,313.44,310.88,0.08,29,4.64,9.44
32,2022,1999,323.36,319.68,0.064,29,4.64,9.44
33,2084,2099,333.28,335.68,0.064,29,4.64,9.44
34,2146,2160,343.2,345.44,0.064,29,4.64,9.44
